product_id,merchant_name,prod_name,description_text,retail_price,category_path,deep_link_url
awin_6766,HealthStore_UK,Optimized Magnesium,<span>High absorption mag-glycinate for sleep.</span> <br> (Batch 1),19.99,Health,http://awin.com/click?p=645
awin_4747,HealthStore_UK,Deep Sleep Pillow Spray,<span>Lavender mist for better rest.</span> <br> (Batch 1),12.50,Home,http://awin.com/click?p=721
awin_2301,HealthStore_UK,Blue Light Blocking Glasses,<span>Reduce eye strain and improve melatonin.</span> <br> (Batch 1),35.00,Electronics,http://awin.com/click?p=505
awin_6168,HealthStore_UK,Organic Ashwagandha,<span>Reduces cortisol and stress levels.</span> <br> (Batch 1),22.00,Supplements,http://awin.com/click?p=828
awin_9537,HealthStore_UK,Weighted Blanket 15lbs,<span>Deep pressure stimulation for anxiety.</span> <br> (Batch 1),89.00,Home,http://awin.com/click?p=839
awin_5157,HealthStore_UK,Valerian Root Drops,<span>Natural herbal sleep aid.</span> <br> (Batch 1),15.99,Health,http://awin.com/click?p=636
awin_9374,HealthStore_UK,Smart Sleep Tracker Ring,<span>Monitors REM and deep sleep cycles.</span> <br> (Batch 1),299.00,Electronics,http://awin.com/click?p=306
awin_8009,HealthStore_UK,Tart Cherry Juice Concentrate,<span>Natural source of melatonin.</span> <br> (Batch 1),18.50,Grocery,http://awin.com/click?p=706
awin_9546,HealthStore_UK,Silk Sleep Mask,<span>100% blackout for total darkness.</span> <br> (Batch 1),9.99,Accessories,http://awin.com/click?p=106
awin_7519,HealthStore_UK,White Noise Machine,<span>Fan-based soothing sound.</span> <br> (Batch 1),45.00,Electronics,http://awin.com/click?p=206
awin_1004,HealthStore_UK,L-Theanine Capsules,<span>Promotes relaxation without drowsiness.</span> <br> (Batch 1),19.00,Supplements,http://awin.com/click?p=328
awin_8543,HealthStore_UK,Cedarwood Essential Oil,<span>Grounding scent for evening routines.</span> <br> (Batch 1),8.50,Health,http://awin.com/click?p=426
awin_4540,HealthStore_UK,Sunrise Alarm Clock,<span>Wake up naturally with light.</span> <br> (Batch 1),55.00,Electronics,http://awin.com/click?p=526
awin_8866,HealthStore_UK,Cooling Mattress Topper,<span>Regulate body temp for deep sleep.</span> <br> (Batch 1),150.00,Home,http://awin.com/click?p=536
awin_5438,HealthStore_UK,Chamomile Tea Bulk,<span>Loose leaf calming tea.</span> <br> (Batch 1),14.00,Grocery,http://awin.com/click?p=250
awin_3402,HealthStore_UK,Mouth Tape for Sleep,<span>Encourage nasal breathing.</span> <br> (Batch 1),7.99,Health,http://awin.com/click?p=820
awin_6883,HealthStore_UK,GABA Supplement,<span>Neurotransmitter support for calm.</span> <br> (Batch 1),21.00,Supplements,http://awin.com/click?p=660
awin_9855,HealthStore_UK,Sleep Headphones Headband,<span>Soft headband with speakers.</span> <br> (Batch 1),25.00,Electronics,http://awin.com/click?p=204
awin_8878,HealthStore_UK,Epsom Salts 5kg,<span>Magnesium bath soak for muscles.</span> <br> (Batch 1),11.00,Health,http://awin.com/click?p=394
awin_4544,HealthStore_UK,Meditation Cushion,<span>Ergonomic seat for mindfulness.</span> <br> (Batch 1),32.00,Home,http://awin.com/click?p=225
awin_8069,HealthStore_UK,Optimized Magnesium,<span>High absorption mag-glycinate for sleep.</span> <br> (Batch 2),19.99,Health,http://awin.com/click?p=284
awin_1022,HealthStore_UK,Deep Sleep Pillow Spray,<span>Lavender mist for better rest.</span> <br> (Batch 2),12.50,Home,http://awin.com/click?p=606
awin_9702,HealthStore_UK,Blue Light Blocking Glasses,<span>Reduce eye strain and improve melatonin.</span> <br> (Batch 2),35.00,Electronics,http://awin.com/click?p=516
awin_4785,HealthStore_UK,Organic Ashwagandha,<span>Reduces cortisol and stress levels.</span> <br> (Batch 2),22.00,Supplements,http://awin.com/click?p=725
awin_9369,HealthStore_UK,Weighted Blanket 15lbs,<span>Deep pressure stimulation for anxiety.</span> <br> (Batch 2),89.00,Home,http://awin.com/click?p=117
awin_3658,HealthStore_UK,Valerian Root Drops,<span>Natural herbal sleep aid.</span> <br> (Batch 2),15.99,Health,http://awin.com/click?p=867
awin_3034,HealthStore_UK,Smart Sleep Tracker Ring,<span>Monitors REM and deep sleep cycles.</span> <br> (Batch 2),299.00,Electronics,http://awin.com/click?p=637
awin_3281,HealthStore_UK,Tart Cherry Juice Concentrate,<span>Natural source of melatonin.</span> <br> (Batch 2),18.50,Grocery,http://awin.com/click?p=979
awin_4237,HealthStore_UK,Silk Sleep Mask,<span>100% blackout for total darkness.</span> <br> (Batch 2),9.99,Accessories,http://awin.com/click?p=419
awin_8201,HealthStore_UK,White Noise Machine,<span>Fan-based soothing sound.</span> <br> (Batch 2),45.00,Electronics,http://awin.com/click?p=736
awin_4976,HealthStore_UK,L-Theanine Capsules,<span>Promotes relaxation without drowsiness.</span> <br> (Batch 2),19.00,Supplements,http://awin.com/click?p=887
awin_4088,HealthStore_UK,Cedarwood Essential Oil,<span>Grounding scent for evening routines.</span> <br> (Batch 2),8.50,Health,http://awin.com/click?p=470
awin_1850,HealthStore_UK,Sunrise Alarm Clock,<span>Wake up naturally with light.</span> <br> (Batch 2),55.00,Electronics,http://awin.com/click?p=216
awin_5890,HealthStore_UK,Cooling Mattress Topper,<span>Regulate body temp for deep sleep.</span> <br> (Batch 2),150.00,Home,http://awin.com/click?p=163
awin_9117,HealthStore_UK,Chamomile Tea Bulk,<span>Loose leaf calming tea.</span> <br> (Batch 2),14.00,Grocery,http://awin.com/click?p=170
awin_1622,HealthStore_UK,Mouth Tape for Sleep,<span>Encourage nasal breathing.</span> <br> (Batch 2),7.99,Health,http://awin.com/click?p=136
awin_1292,HealthStore_UK,GABA Supplement,<span>Neurotransmitter support for calm.</span> <br> (Batch 2),21.00,Supplements,http://awin.com/click?p=729
awin_7279,HealthStore_UK,Sleep Headphones Headband,<span>Soft headband with speakers.</span> <br> (Batch 2),25.00,Electronics,http://awin.com/click?p=392
awin_5698,HealthStore_UK,Epsom Salts 5kg,<span>Magnesium bath soak for muscles.</span> <br> (Batch 2),11.00,Health,http://awin.com/click?p=982
awin_9523,HealthStore_UK,Meditation Cushion,<span>Ergonomic seat for mindfulness.</span> <br> (Batch 2),32.00,Home,http://awin.com/click?p=448
awin_7277,HealthStore_UK,Optimized Magnesium,<span>High absorption mag-glycinate for sleep.</span> <br> (Batch 3),19.99,Health,http://awin.com/click?p=165
awin_7068,HealthStore_UK,Deep Sleep Pillow Spray,<span>Lavender mist for better rest.</span> <br> (Batch 3),12.50,Home,http://awin.com/click?p=816
awin_6729,HealthStore_UK,Blue Light Blocking Glasses,<span>Reduce eye strain and improve melatonin.</span> <br> (Batch 3),35.00,Electronics,http://awin.com/click?p=349
awin_4707,HealthStore_UK,Organic Ashwagandha,<span>Reduces cortisol and stress levels.</span> <br> (Batch 3),22.00,Supplements,http://awin.com/click?p=963
awin_2213,HealthStore_UK,Weighted Blanket 15lbs,<span>Deep pressure stimulation for anxiety.</span> <br> (Batch 3),89.00,Home,http://awin.com/click?p=108
awin_3672,HealthStore_UK,Valerian Root Drops,<span>Natural herbal sleep aid.</span> <br> (Batch 3),15.99,Health,http://awin.com/click?p=271
awin_6228,HealthStore_UK,Smart Sleep Tracker Ring,<span>Monitors REM and deep sleep cycles.</span> <br> (Batch 3),299.00,Electronics,http://awin.com/click?p=222
awin_4184,HealthStore_UK,Tart Cherry Juice Concentrate,<span>Natural source of melatonin.</span> <br> (Batch 3),18.50,Grocery,http://awin.com/click?p=319
awin_3805,HealthStore_UK,Silk Sleep Mask,<span>100% blackout for total darkness.</span> <br> (Batch 3),9.99,Accessories,http://awin.com/click?p=987
awin_2549,HealthStore_UK,White Noise Machine,<span>Fan-based soothing sound.</span> <br> (Batch 3),45.00,Electronics,http://awin.com/click?p=835
awin_1319,HealthStore_UK,L-Theanine Capsules,<span>Promotes relaxation without drowsiness.</span> <br> (Batch 3),19.00,Supplements,http://awin.com/click?p=320
awin_8042,HealthStore_UK,Cedarwood Essential Oil,<span>Grounding scent for evening routines.</span> <br> (Batch 3),8.50,Health,http://awin.com/click?p=343
awin_5607,HealthStore_UK,Sunrise Alarm Clock,<span>Wake up naturally with light.</span> <br> (Batch 3),55.00,Electronics,http://awin.com/click?p=592
awin_3857,HealthStore_UK,Cooling Mattress Topper,<span>Regulate body temp for deep sleep.</span> <br> (Batch 3),150.00,Home,http://awin.com/click?p=499
awin_5494,HealthStore_UK,Chamomile Tea Bulk,<span>Loose leaf calming tea.</span> <br> (Batch 3),14.00,Grocery,http://awin.com/click?p=222
awin_1266,HealthStore_UK,Mouth Tape for Sleep,<span>Encourage nasal breathing.</span> <br> (Batch 3),7.99,Health,http://awin.com/click?p=664
awin_3909,HealthStore_UK,GABA Supplement,<span>Neurotransmitter support for calm.</span> <br> (Batch 3),21.00,Supplements,http://awin.com/click?p=163
awin_8992,HealthStore_UK,Sleep Headphones Headband,<span>Soft headband with speakers.</span> <br> (Batch 3),25.00,Electronics,http://awin.com/click?p=309
awin_6632,HealthStore_UK,Epsom Salts 5kg,<span>Magnesium bath soak for muscles.</span> <br> (Batch 3),11.00,Health,http://awin.com/click?p=930
awin_4400,HealthStore_UK,Meditation Cushion,<span>Ergonomic seat for mindfulness.</span> <br> (Batch 3),32.00,Home,http://awin.com/click?p=473
